date,id,code,ticker,dtyyyymmdd,date_shamsi,first,high,low,close,value,vol,openint,per,open,last
2004-08-29,187237,35700344742885862,Gol-E-Gohar.,20040829,1383/06/08,12000.0,12021.0,12000.0,12000.0,18841605000,1570000,2708,D,12000.0,12000.0
2004-09-04,187236,35700344742885862,Gol-E-Gohar.,20040904,1383/06/14,12600.0,12600.0,12600.0,12600.0,12600000000,1000000,849,D,12000.0,12600.0
2004-09-05,187235,35700344742885862,Gol-E-Gohar.,20040905,1383/06/15,13230.0,13230.0,7115.0,13230.0,34449329770,2708823,3887,D,12600.0,13230.0
2004-09-07,187234,35700344742885862,Gol-E-Gohar.,20040907,1383/06/17,13891.0,13891.0,13891.0,13891.0,41395180000,2980000,996,D,13230.0,13891.0
2004-09-08,187233,35700344742885862,Gol-E-Gohar.,20040908,1383/06/18,14585.0,14585.0,14585.0,14585.0,20305659965,1392229,409,D,13891.0,14585.0
2004-09-12,187232,35700344742885862,Gol-E-Gohar.,20040912,1383/06/22,15314.0,15314.0,15314.0,15314.0,9088859000,593500,235,D,14585.0,15314.0
2004-09-15,187231,35700344742885862,Gol-E-Gohar.,20040915,1383/06/25,16079.0,16079.0,15429.0,15429.0,851569498,52962,52,D,15314.0,15429.0
2004-09-18,187230,35700344742885862,Gol-E-Gohar.,20040918,1383/06/28,14658.0,15198.0,14658.0,15198.0,1541895078,105191,99,D,15429.0,15198.0
2004-09-19,187229,35700344742885862,Gol-E-Gohar.,20040919,1383/06/29,14439.0,15187.0,14439.0,15187.0,71263945,4935,11,D,15198.0,15187.0
2004-09-20,187228,35700344742885862,Gol-E-Gohar.,20040920,1383/06/30,14428.0,14785.0,14428.0,14785.0,2683827990,186015,50,D,15187.0,14785.0
2004-09-21,187227,35700344742885862,Gol-E-Gohar.,20040921,1383/06/31,14046.0,14345.0,14046.0,14345.0,2939030168,209243,61,D,14785.0,14345.0
2004-09-22,187226,35700344742885862,Gol-E-Gohar.,20040922,1383/07/01,14040.0,14050.0,13629.0,13772.0,11827222437,858755,1002,D,14345.0,13772.0
2004-09-25,187225,35700344742885862,Gol-E-Gohar.,20040925,1383/07/04,13750.0,13750.0,13400.0,13717.0,2013211923,147584,171,D,13772.0,13717.0
2004-09-26,187224,35700344742885862,Gol-E-Gohar.,20040926,1383/07/05,13051.0,13680.0,13050.0,13380.0,3794393838,285239,234,D,13717.0,13380.0
2004-09-27,187223,35700344742885862,Gol-E-Gohar.,20040927,1383/07/06,13495.0,13495.0,13210.0,13363.0,2521796394,188904,161,D,13380.0,13363.0
2004-09-28,187222,35700344742885862,Gol-E-Gohar.,20040928,1383/07/07,13205.0,13300.0,13000.0,13284.0,65013467888,4999023,136,D,13363.0,13284.0
2004-09-29,187221,35700344742885862,Gol-E-Gohar.,20040929,1383/07/08,12900.0,13390.0,12900.0,13253.0,1159589235,88103,90,D,13284.0,13253.0
2004-10-02,187220,35700344742885862,Gol-E-Gohar.,20041002,1383/07/11,12600.0,13185.0,12600.0,13185.0,555300747,43703,41,D,13253.0,13185.0
2004-10-03,187219,35700344742885862,Gol-E-Gohar.,20041003,1383/07/12,12526.0,12798.0,12526.0,12757.0,3387339682,268317,194,D,13185.0,12757.0
2004-10-04,187218,35700344742885862,Gol-E-Gohar.,20041004,1383/07/13,12499.0,12647.0,12489.0,12647.0,2042565401,163128,131,D,12757.0,12647.0
2004-10-05,187217,35700344742885862,Gol-E-Gohar.,20041005,1383/07/14,12430.0,12492.0,12022.0,12492.0,1455441426,119388,95,D,12647.0,12492.0
2004-10-06,187216,35700344742885862,Gol-E-Gohar.,20041006,1383/07/15,12002.0,12433.0,12000.0,12433.0,720830021,59341,41,D,12492.0,12433.0
2004-10-09,187215,35700344742885862,Gol-E-Gohar.,20041009,1383/07/18,12000.0,12345.0,11812.0,12345.0,842492892,70234,49,D,12433.0,12345.0
2004-10-10,187214,35700344742885862,Gol-E-Gohar.,20041010,1383/07/19,11989.0,12247.0,11751.0,12247.0,1130152513,94323,45,D,12345.0,12247.0
2004-10-11,187213,35700344742885862,Gol-E-Gohar.,20041011,1383/07/20,11859.0,12078.0,11635.0,12078.0,1763039587,148782,72,D,12247.0,12078.0
2004-10-12,187212,35700344742885862,Gol-E-Gohar.,20041012,1383/07/21,11700.0,12032.0,11475.0,12032.0,358419314,30987,31,D,12078.0,12032.0
2004-10-13,187211,35700344742885862,Gol-E-Gohar.,20041013,1383/07/22,11800.0,11934.0,11431.0,11934.0,921364087,79430,47,D,12032.0,11934.0
2004-10-16,187210,35700344742885862,Gol-E-Gohar.,20041016,1383/07/25,11338.0,11560.0,11338.0,11560.0,2580737169,227270,87,D,11934.0,11560.0
2004-10-17,187209,35700344742885862,Gol-E-Gohar.,20041017,1383/07/26,11000.0,11429.0,10982.0,11429.0,874451580,79625,74,D,11560.0,11429.0
2004-10-18,187208,35700344742885862,Gol-E-Gohar.,20041018,1383/07/27,10858.0,11268.0,10858.0,11268.0,1090863680,100374,74,D,11429.0,11268.0
